node_Degree,node_Accessibility,node_ID
3,0.1946561485528946,347
3,0.16435173153877258,348
3,0.2775595784187317,349
3,0.19861990213394165,350
3,0.2060612142086029,351
3,0.1764059066772461,352
3,0.28009548783302307,353
3,0.16316761076450348,354
3,0.21426323056221008,355
3,0.20183485746383667,356
3,0.1649613082408905,357
3,0.16551987826824188,358
1,0.0820472314953804,359
3,0.2043638378381729,360
3,0.15994131565093994,361
3,0.2185443639755249,362
3,0.16581429541110992,363
3,0.20476391911506653,364
3,0.27723267674446106,365
3,0.28261134028434753,366
1,0.13527114689350128,367
3,0.22245705127716064,368
3,0.2745795249938965,369
3,0.22546257078647614,370
3,0.2943130433559418,371
3,0.16113485395908356,372
1,0.1741591989994049,373
3,0.27377524971961975,374
3,0.2888449728488922,375
3,0.2184925228357315,376
3,0.22791582345962524,377
3,0.2526571452617645,378
1,0.20952260494232178,379
3,0.22908473014831543,380
3,0.16893601417541504,381
3,0.2989446222782135,382
3,0.20373716950416565,383
3,0.2321339100599289,384
3,0.20199522376060486,385
3,0.17162065207958221,386
3,0.2916439175605774,387
3,0.19666282832622528,388
3,0.17121343314647675,389
3,0.2915426194667816,390
3,0.30225807428359985,391
3,0.27990806102752686,392
3,0.19259771704673767,393
3,0.2282373160123825,394
1,0.2132425755262375,395
3,0.26920944452285767,396
3,0.19065633416175842,397
3,0.29504841566085815,398
3,0.17283347249031067,399
3,0.3191552758216858,400
3,0.2528191804885864,401
3,0.255363404750824,402
3,0.32050952315330505,403
2,0.2565377354621887,404
3,0.3022419512271881,405
3,0.306999534368515,406
4,0.2571883201599121,407
3,0.2415502965450287,408
3,0.30789726972579956,409
3,0.23829704523086548,410
3,0.25452619791030884,411
3,0.24328726530075073,412
2,0.3110559582710266,413
3,0.1859649419784546,414
3,0.31021279096603394,415
3,0.23543226718902588,416
2,0.30682921409606934,417
3,0.17536425590515137,418
3,0.18073205649852753,419
3,0.23326781392097473,420
2,0.30358976125717163,421
3,0.17207561433315277,422
3,0.2434898465871811,423
3,0.169446662068367,424
2,0.3022497892379761,425
3,0.16987812519073486,426
3,0.2882280647754669,427
2,0.32748597860336304,428
3,0.3233453035354614,429
3,0.28957539796829224,430
3,0.18121811747550964,431
3,0.14521801471710205,432
3,0.311168372631073,433
3,0.28957399725914,434
3,0.3355053961277008,435
3,0.3053390681743622,436
3,0.2604057192802429,437
4,0.2569086253643036,438
3,0.1852051466703415,439
3,0.24658317863941193,440
3,0.14514704048633575,441
3,0.3277149200439453,442
3,0.28231194615364075,443
1,0.12178465723991394,444
3,0.1585683673620224,445
3,0.3207434117794037,446
2,0.29568177461624146,447
3,0.32411250472068787,448
3,0.28627124428749084,449
2,0.29428985714912415,450
2,0.3439832329750061,451
3,0.2991166114807129,452
3,0.29636627435684204,453
3,0.28883257508277893,454
1,0.1540340930223465,455
3,0.1478373110294342,456
3,0.33416858315467834,457
3,0.32070276141166687,458
1,0.12863367795944214,459
3,0.3226878046989441,460
2,0.3157014548778534,461
3,0.28081396222114563,462
3,0.1944696009159088,463
3,0.2753918170928955,464
4,0.3170691728591919,465
3,0.19392579793930054,466
2,0.2958453595638275,467
3,0.30950927734375,468
3,0.3023568391799927,469
3,0.30633053183555603,470
2,0.2396131455898285,471
3,0.1663951277732849,472
2,0.3579028248786926,473
3,0.18162046372890472,474
3,0.15650668740272522,475
3,0.27282455563545227,476
3,0.3100266456604004,477
3,0.3099024295806885,478
3,0.31376492977142334,479
3,0.2490471452474594,480
3,0.1589478999376297,481
3,0.19242846965789795,482
4,0.33429157733917236,483
3,0.3072243630886078,484
3,0.322964072227478,485
3,0.16211016476154327,486
3,0.3541964590549469,487
3,0.28338202834129333,488
3,0.25208091735839844,489
3,0.17006021738052368,490
2,0.16684409976005554,491
3,0.3106166422367096,492
3,0.27967408299446106,493
3,0.1671735644340515,494
3,0.2547207474708557,495
3,0.32725927233695984,496
3,0.17107056081295013,497
2,0.3638697564601898,498
3,0.32908663153648376,499
3,0.17399902641773224,500
3,0.2761981785297394,501
